market_value,age,height,attacking,technical,tactical,defending,creativity,saves,anticipation,ball_distribution,aerial,avg_score_last_12_months,appearances_last_12_months,point_of_tournament,pos_D,pos_F,pos_G,pos_M,foot_Both,foot_Left,foot_Right,cluster
5300,29,173,61,57,41,33,57,0,0,0,0,7.32,25,1366.45,False,False,False,True,False,False,True,2
3100,23,176,57,50,36,36,48,0,0,0,0,6.95,26,1366.45,False,False,False,True,False,False,True,2
4100,23,180,58,53,47,42,48,0,0,0,0,7.15,20,1366.45,False,False,False,True,False,False,True,2
955,19,186,33,45,45,61,36,0,0,0,0,6.83,18,1366.45,True,False,False,False,False,False,True,3
775,27,185,37,45,53,66,38,0,0,0,0,7.07,16,1366.45,True,False,False,False,False,False,True,3
1400,23,170,41,47,40,52,48,0,0,0,0,6.75,22,1366.45,True,False,False,False,False,False,True,3
360,32,172,32,35,37,56,38,0,0,0,0,6.54,16,1366.45,True,False,False,False,False,True,False,5
2400,27,184,36,46,41,59,40,0,0,0,0,6.75,22,1366.45,True,False,False,False,False,False,True,3
310,34,180,0,0,44,0,0,53,37,47,56,6.91,26,1366.45,False,False,True,False,False,False,True,0
725,34,180,65,64,42,37,61,0,0,0,0,7.34,18,1366.45,False,True,False,False,False,False,True,4
1400,32,186,71,52,44,26,53,0,0,0,0,7.3,22,1366.45,False,True,False,False,False,True,False,7
4400,25,178,58,62,36,35,57,0,0,0,0,6.98,25,1366.45,False,False,False,True,False,True,False,6
5400,29,174,62,62,48,37,63,0,0,0,0,7.21,24,1366.45,False,False,False,True,False,True,False,6
2100,30,185,47,53,53,56,49,0,0,0,0,7.16,20,1366.45,False,False,False,True,False,False,True,2
4400,23,191,33,40,49,65,34,0,0,0,0,6.83,20,1366.45,True,False,False,False,False,True,False,5
2200,29,166,61,61,52,34,59,0,0,0,0,7.06,23,1366.45,False,False,False,True,False,True,False,6
1600,24,181,42,47,50,61,44,0,0,0,0,6.83,22,1366.45,False,False,False,True,False,False,True,2
1000,29,185,36,44,57,65,39,0,0,0,0,6.95,13,1366.45,True,False,False,False,False,False,True,3
1500,29,177,64,49,46,35,39,0,0,0,0,6.78,12,1366.45,False,True,False,False,False,False,True,4
2200,33,179,67,52,45,27,51,0,0,0,0,7.25,19,1366.45,False,True,False,False,True,False,False,1
1500,32,172,56,60,30,34,58,0,0,0,0,7.21,21,1366.45,False,False,False,True,True,False,False,8
1900,32,170,69,69,44,27,68,0,0,0,0,7.49,22,1366.45,False,False,False,True,True,False,False,8
1400,32,175,57,60,56,43,64,0,0,0,0,7.24,24,1366.45,False,False,False,True,False,False,True,2
825,19,178,49,55,42,45,48,0,0,0,0,6.8,21,1366.45,False,False,False,True,False,False,True,2
2600,26,175,54,57,40,43,56,0,0,0,0,7.3,22,1366.45,False,False,False,True,False,True,False,6
3300,29,185,35,44,53,60,37,0,0,0,0,6.78,20,1366.45,True,False,False,False,False,True,False,5
350,25,188,37,56,58,66,43,0,0,0,0,7.0,25,1507.94,True,False,False,False,False,False,True,3
105,36,182,0,0,38,0,0,45,33,53,54,6.79,16,1366.45,False,False,True,False,False,False,True,0
1500,31,178,62,53,42,28,42,0,0,0,0,6.87,26,1366.45,False,True,False,False,False,True,False,7
2700,27,177,59,54,40,40,45,0,0,0,0,7.13,25,1366.45,False,False,False,True,False,False,True,2
1800,30,190,33,43,48,66,30,0,0,0,0,6.92,18,1366.45,True,False,False,False,False,False,True,3
1400,28,180,67,56,51,37,55,0,0,0,0,6.75,13,1366.45,False,False,False,True,False,True,False,6
2100,28,178,57,54,31,27,46,0,0,0,0,6.96,19,1366.45,False,False,False,True,False,False,True,2
930,23,187,34,42,42,52,32,0,0,0,0,6.58,20,1366.45,True,False,False,False,False,True,False,5
1400,27,172,56,55,37,31,56,0,0,0,0,7.11,18,1366.45,False,True,False,False,True,False,False,1
2600,28,167,54,54,44,36,53,0,0,0,0,7.08,22,1366.45,False,False,False,True,False,False,True,2
2600,25,164,65,57,44,35,52,0,0,0,0,7.35,27,1366.45,False,True,False,False,False,False,True,4
3200,29,187,61,43,52,39,44,0,0,0,0,6.94,33,1366.45,False,True,False,False,False,False,True,4
745,21,178,59,67,44,50,55,0,0,0,0,7.0,18,1366.45,False,False,False,True,False,False,True,2
2900,31,173,62,59,39,33,63,0,0,0,0,7.6,20,1366.45,False,False,False,True,False,False,True,2
680,33,186,46,52,46,48,45,0,0,0,0,6.94,20,1366.45,False,False,False,True,True,False,False,8
1400,29,191,35,46,51,65,40,0,0,0,0,6.79,24,1366.45,True,False,False,False,False,False,True,3
550,31,174,35,45,36,58,37,0,0,0,0,6.64,17,1366.45,True,False,False,False,False,False,True,3
380,30,176,36,42,40,58,41,0,0,0,0,6.74,24,1366.45,True,False,False,False,False,False,True,3
480,39,171,60,61,44,34,57,0,0,0,0,7.21,16,1366.45,False,True,False,False,True,False,False,1
5600,30,176,64,55,52,39,49,0,0,0,0,7.25,17,1366.45,False,True,False,False,False,False,True,4
1400,31,172,70,68,49,33,71,0,0,0,0,7.38,16,1366.45,False,False,False,True,True,False,False,8
205,32,187,41,43,61,65,44,0,0,0,0,6.75,13,1366.45,False,False,False,True,False,False,True,2
290,31,187,35,47,49,58,36,0,0,0,0,6.47,15,1366.45,True,False,False,False,False,False,True,3
440,29,189,62,47,50,32,41,0,0,0,0,6.94,26,1366.45,False,True,False,False,False,False,True,4
665,29,190,48,51,41,44,47,0,0,0,0,6.79,20,1366.45,False,False,False,True,False,False,True,2
555,31,182,36,46,48,63,39,0,0,0,0,6.63,18,1366.45,True,False,False,False,False,True,False,5
160,32,184,57,57,46,28,44,0,0,0,0,6.81,20,1354.19,False,True,False,False,False,True,False,7
190,30,178,41,57,33,42,46,0,0,0,0,7.05,17,1354.19,True,False,False,False,False,False,True,3
240,27,174,51,61,33,33,51,0,0,0,0,6.66,16,1354.19,False,False,False,True,False,True,False,6
195,35,183,62,54,46,30,45,0,0,0,0,6.92,10,1354.19,False,True,False,False,False,False,True,4
310,26,183,59,61,42,35,55,0,0,0,0,7.35,28,1351.72,False,False,False,True,False,False,True,2
145,20,183,49,55,41,46,45,0,0,0,0,6.89,24,1351.72,False,False,False,True,True,False,False,8
140,35,182,61,63,45,32,56,0,0,0,0,7.4,26,1351.72,False,False,False,True,False,False,True,2
230,29,184,53,69,45,41,53,0,0,0,0,7.22,25,1351.72,False,False,False,True,False,False,True,2
295,23,187,35,49,53,61,44,0,0,0,0,7.07,26,1351.72,True,False,False,False,False,False,True,3
160,34,184,34,43,45,57,35,0,0,0,0,6.88,21,1351.72,True,False,False,False,False,True,False,5
210,21,184,36,52,42,53,41,0,0,0,0,6.8,29,1351.72,True,False,False,False,False,True,False,5
140,27,190,35,47,49,56,39,0,0,0,0,6.82,25,1351.72,True,False,False,False,False,False,True,3
270,23,195,0,0,36,0,0,55,42,50,54,7.02,29,1351.72,False,False,True,False,False,False,True,0
260,25,183,60,57,40,29,39,0,0,0,0,6.96,26,1351.72,False,True,False,False,False,False,True,4
660,17,185,59,67,44,35,54,0,0,0,0,7.3,27,1351.72,False,False,False,True,False,False,True,2
485,30,186,51,51,46,43,52,0,0,0,0,7.06,28,1351.72,False,False,False,True,False,False,True,2
140,35,188,59,74,34,31,54,0,0,0,0,7.14,28,1351.72,False,False,False,True,False,False,True,2
155,23,181,52,62,38,37,50,0,0,0,0,6.95,27,1351.72,False,False,False,True,False,False,True,2
260,33,173,50,54,40,41,52,0,0,0,0,6.9,25,1351.72,False,False,False,True,False,False,True,2
415,23,171,40,61,43,50,45,0,0,0,0,6.78,26,1351.72,True,False,False,False,False,False,True,3
260,22,181,43,63,38,50,50,0,0,0,0,7.14,27,1351.72,True,False,False,False,False,True,False,5
265,33,191,35,46,54,63,39,0,0,0,0,7.04,28,1351.72,True,False,False,False,False,False,True,3
130,27,193,0,0,25,0,0,43,34,48,47,6.7,26,1351.72,False,False,True,False,False,False,True,0
210,22,175,49,63,35,39,53,0,0,0,0,6.91,26,1351.72,True,False,False,False,False,True,False,5
230,24,185,37,49,58,64,39,0,0,0,0,7.12,23,1351.72,True,False,False,False,False,False,True,3
310,28,177,46,54,46,52,49,0,0,0,0,7.15,27,1351.72,True,False,False,False,False,False,True,3
120,26,176,60,78,27,25,55,0,0,0,0,7.14,28,1351.72,False,True,False,False,True,False,False,1
